grid_size,threads,episodes,obstacles,Blocks
20,5,1000,20,10
10,40,100,1,10
5,5,100,5,10
100,40,100,1,10
10,5,1000,1,10
100,10,1000,5,10
20,40,1000,20,10
20,10,100,5,10
10,1,100,5,10
10,2,1000,1,10
20,1,1000,20,10
5,10,1000,5,10
5,40,1000,5,10
100,10,1000,20,10
5,2,1000,5,10
5,5,1000,1,10
20,2,1000,20,10
20,1,100,5,10
100,5,100,1,10
5,1,1000,20,10
20,20,1000,20,10
100,5,1000,1,10
10,10,100,1,10
100,5,100,5,10
100,2,1000,5,10
20,2,1000,1,10
20,2,100,20,10
20,40,100,20,10
20,1,100,1,10
5,20,1000,1,10
20,10,1000,5,10
10,1,1000,20,10
20,10,1000,1,10
10,5,100,1,10
5,1,1000,1,10
10,2,100,5,10
10,40,1000,5,10
20,1,100,20,10
10,20,100,1,10
5,10,100,1,10
100,1,100,20,10
5,1,100,20,10
5,2,1000,1,10
10,10,1000,5,10
20,20,1000,5,10
20,2,1000,5,10
100,1,1000,1,10
10,10,1000,20,10
20,20,100,20,10
