threads,grid_size,sync_mode,sync_interval,episodes,schedule,chunk,obstacles_pct,block,training_time_s,converged,vtune_elapsed_s,vtune_ipc,vtune_mem_bound_pct,thread_cpu_time_s,thread_wait_time_s,thread_spin_time_s,thread_overhead_time_s,thread_eff_cpu_util_pct
20,50,sqrt,10,10000,static,1,50,1,0.564461,no,NA,NA,NA,NA,NA,NA,NA,NA
4,10,sqrt,1000,10000,guided,0,0,1,0.002911,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,50,statespace,0,5000,guided,0,0,1,0.018789,no,NA,NA,NA,NA,NA,NA,NA,NA
2,10,hogwild,0,10000,dynamic,1,0,1,0.006129,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,50,hogwild,0,10000,dynamic,1,0,1,0.022150,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,10,sqrt,0,5000,static,0,50,1,0.003878,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,sqrt,0,5000,dynamic,10,0,1,0.059202,no,NA,NA,NA,NA,NA,NA,NA,NA
16,100,statespace,0,5000,guided,0,0,1,0.031199,no,NA,NA,NA,NA,NA,NA,NA,NA
4,10,hogwild,0,5000,static,1,0,1,0.002193,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,10,10000,static,0,50,1,1.040645,no,NA,NA,NA,NA,NA,NA,NA,NA
8,10,sqrt,1000,10000,static,10,0,1,0.002186,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,10,sqrt,1000,10000,dynamic,0,0,1,0.004716,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,1000,10000,dynamic,1,0,1,0.131827,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,10,sqrt,10,10000,static,1,50,1,0.041042,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,0,10000,dynamic,1,0,1,0.045863,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,10,5000,dynamic,0,0,1,0.123560,no,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,0,10000,static,0,50,1,0.012931,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,50,hogwild,0,5000,guided,1,50,1,0.054703,no,NA,NA,NA,NA,NA,NA,NA,NA
8,100,statespace,0,10000,guided,10,0,1,0.067370,no,NA,NA,NA,NA,NA,NA,NA,NA
8,50,sqrt,10,10000,dynamic,10,50,1,2.933972,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,statespace,0,10000,dynamic,0,50,1,0.904148,no,NA,NA,NA,NA,NA,NA,NA,NA
2,10,sqrt,10,10000,static,10,0,1,0.013260,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,10,10000,guided,1,50,1,0.041285,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,hogwild,0,10000,static,10,50,1,0.944732,no,NA,NA,NA,NA,NA,NA,NA,NA
20,10,sqrt,10,10000,dynamic,1,0,1,0.031384,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,100,sqrt,1000,10000,static,10,0,1,0.070634,no,NA,NA,NA,NA,NA,NA,NA,NA
8,10,hogwild,0,5000,dynamic,0,50,1,0.002515,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,100,sqrt,0,5000,dynamic,1,0,1,0.128175,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,static,10,0,1,0.174168,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,10,10000,guided,1,0,1,0.069620,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,100,hogwild,0,5000,static,1,50,1,0.747056,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,hogwild,0,10000,dynamic,10,0,1,0.018876,no,NA,NA,NA,NA,NA,NA,NA,NA
8,100,sqrt,0,10000,static,1,0,1,0.117496,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,10,5000,guided,10,50,1,8.848679,no,NA,NA,NA,NA,NA,NA,NA,NA
8,10,sqrt,10,5000,guided,10,50,1,0.015781,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,10,5000,dynamic,1,50,1,2.235440,no,NA,NA,NA,NA,NA,NA,NA,NA
8,50,sqrt,0,5000,guided,10,50,1,0.776426,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,statespace,0,5000,guided,1,0,1,0.033017,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,statespace,0,10000,guided,1,50,1,0.947724,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,sqrt,0,5000,static,10,0,1,0.231109,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,statespace,0,5000,guided,1,0,1,0.029256,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,statespace,0,10000,guided,0,50,1,0.387239,no,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,1000,5000,dynamic,0,50,1,4.363500,no,NA,NA,NA,NA,NA,NA,NA,NA
