threads,grid_size,sync_mode,sync_interval,episodes,schedule,chunk,obstacles_pct,block,training_time_s,converged,vtune_elapsed_s,vtune_ipc,vtune_mem_bound_pct,thread_cpu_time_s,thread_wait_time_s,thread_spin_time_s,thread_overhead_time_s,thread_eff_cpu_util_pct
8,50,sqrt,10,10000,static,1,0,1,0.076676,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,1000,10000,guided,0,50,1,0.597643,no,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,0,10000,guided,1,50,1,0.017735,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,guided,10,0,1,0.028763,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,100,statespace,0,5000,dynamic,10,0,1,0.038679,no,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,1000,5000,static,0,50,1,0.137106,no,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,0,5000,dynamic,1,0,1,0.122585,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,static,0,50,1,5.040347,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,hogwild,0,10000,guided,0,0,1,0.022797,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,1000,5000,guided,10,0,1,0.098873,no,NA,NA,NA,NA,NA,NA,NA,NA
4,10,sqrt,1000,10000,static,1,0,1,0.002987,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,50,statespace,0,10000,dynamic,0,50,1,0.262966,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,dynamic,1,50,1,4.953695,no,NA,NA,NA,NA,NA,NA,NA,NA
16,10,sqrt,0,10000,static,10,50,1,0.020936,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,100,statespace,0,5000,guided,10,50,1,4.353878,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,10,5000,static,1,0,1,0.045171,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,10,statespace,0,5000,guided,10,50,1,0.005076,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,100,sqrt,0,10000,dynamic,1,50,1,2.903304,no,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,0,10000,guided,10,0,1,0.125176,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,hogwild,0,5000,static,1,0,1,0.012687,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,10,sqrt,1000,5000,static,10,0,1,0.001752,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,50,hogwild,0,5000,static,1,0,1,0.006400,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,50,hogwild,0,10000,static,0,50,1,0.933319,no,NA,NA,NA,NA,NA,NA,NA,NA
4,10,sqrt,10,5000,dynamic,10,0,1,0.007854,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,10,statespace,0,5000,guided,1,50,1,0.003223,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,100,sqrt,1000,10000,dynamic,0,50,1,1.033390,no,NA,NA,NA,NA,NA,NA,NA,NA
16,100,sqrt,0,10000,static,0,0,1,0.169498,no,NA,NA,NA,NA,NA,NA,NA,NA
20,10,hogwild,0,10000,dynamic,0,50,1,0.007461,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,100,statespace,0,5000,guided,0,0,1,0.061957,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,sqrt,0,10000,dynamic,0,50,1,2.009732,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,dynamic,1,0,1,0.029251,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,1000,5000,dynamic,1,0,1,0.062479,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,1000,10000,static,0,0,1,0.106644,no,NA,NA,NA,NA,NA,NA,NA,NA
40,100,hogwild,0,5000,static,0,50,1,0.471699,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,hogwild,0,5000,static,10,50,1,0.546513,no,NA,NA,NA,NA,NA,NA,NA,NA
16,100,sqrt,10,5000,static,0,0,1,0.186291,no,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,1000,5000,dynamic,10,0,1,0.021003,no,NA,NA,NA,NA,NA,NA,NA,NA
40,50,statespace,0,10000,guided,0,0,1,0.025194,no,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,1000,5000,dynamic,1,50,1,4.394851,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,statespace,0,5000,dynamic,0,50,1,2.396890,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,10,10000,dynamic,1,50,1,5.921088,no,NA,NA,NA,NA,NA,NA,NA,NA
8,10,hogwild,0,10000,guided,10,50,1,0.004594,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,10,sqrt,10,10000,dynamic,0,50,1,0.011248,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,statespace,0,10000,guided,0,50,1,0.960775,no,NA,NA,NA,NA,NA,NA,NA,NA
20,50,hogwild,0,10000,static,0,50,1,0.138599,no,NA,NA,NA,NA,NA,NA,NA,NA
16,100,statespace,0,5000,static,10,0,1,0.031637,no,NA,NA,NA,NA,NA,NA,NA,NA
20,10,statespace,0,5000,dynamic,1,0,1,0.003304,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,50,statespace,0,10000,static,10,50,1,0.287785,no,NA,NA,NA,NA,NA,NA,NA,NA
40,50,hogwild,0,10000,dynamic,1,0,1,0.008227,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,0,10000,dynamic,10,50,1,9.743278,no,NA,NA,NA,NA,NA,NA,NA,NA
16,100,statespace,0,10000,guided,1,50,1,1.253573,no,NA,NA,NA,NA,NA,NA,NA,NA
8,50,sqrt,1000,10000,static,0,0,1,0.025093,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,1000,5000,guided,1,0,1,0.019811,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,0,10000,dynamic,0,50,1,0.902728,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,hogwild,0,10000,guided,10,0,1,0.023138,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,10,sqrt,0,10000,guided,0,0,1,0.004210,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,10,10000,dynamic,0,0,1,0.037209,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,sqrt,10,5000,dynamic,1,0,1,0.045822,no,NA,NA,NA,NA,NA,NA,NA,NA
16,100,sqrt,1000,5000,guided,10,0,1,0.033630,no,NA,NA,NA,NA,NA,NA,NA,NA
40,10,hogwild,0,5000,guided,10,50,1,0.004500,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,10,10000,static,10,50,1,2.180257,no,NA,NA,NA,NA,NA,NA,NA,NA
8,50,hogwild,0,5000,static,10,0,1,0.007851,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,100,hogwild,0,10000,dynamic,10,0,1,0.109422,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,statespace,0,10000,static,1,50,1,0.399572,no,NA,NA,NA,NA,NA,NA,NA,NA
8,10,sqrt,1000,5000,static,1,50,1,0.002063,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,100,sqrt,10,5000,static,1,50,1,1.242369,no,NA,NA,NA,NA,NA,NA,NA,NA
4,10,hogwild,0,5000,dynamic,10,0,1,0.002266,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,100,sqrt,1000,10000,guided,10,0,1,0.070002,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,1000,5000,guided,1,50,1,0.367681,no,NA,NA,NA,NA,NA,NA,NA,NA
16,10,hogwild,0,10000,guided,1,0,1,0.006343,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,1000,5000,static,1,0,1,0.051506,no,NA,NA,NA,NA,NA,NA,NA,NA
16,10,sqrt,1000,5000,static,10,50,1,0.002218,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,10,10000,dynamic,10,0,1,0.138981,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,1000,5000,guided,0,0,1,0.051457,no,NA,NA,NA,NA,NA,NA,NA,NA
8,10,sqrt,0,10000,static,1,0,1,0.004341,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,50,hogwild,0,5000,guided,10,0,1,0.006135,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,statespace,0,5000,static,1,50,1,0.282655,no,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,0,5000,static,0,0,1,0.042161,no,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,0,5000,guided,10,50,1,4.375232,no,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,0,10000,static,0,0,1,0.065368,no,NA,NA,NA,NA,NA,NA,NA,NA
20,10,sqrt,10,5000,static,10,0,1,0.020794,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,100,sqrt,1000,5000,guided,1,50,1,0.662140,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,sqrt,0,5000,guided,0,50,1,0.620364,no,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,1000,5000,static,0,50,1,0.174911,no,NA,NA,NA,NA,NA,NA,NA,NA
20,10,statespace,0,10000,guided,10,50,1,0.007200,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,1000,10000,static,10,0,1,0.031346,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,sqrt,0,10000,dynamic,0,50,1,0.436802,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,statespace,0,5000,static,10,50,1,0.520977,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,0,5000,guided,1,50,1,0.525642,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,hogwild,0,10000,guided,1,0,1,0.019133,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,100,sqrt,10,5000,guided,10,0,1,0.439445,no,NA,NA,NA,NA,NA,NA,NA,NA
40,100,hogwild,0,5000,static,0,0,1,0.010007,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,10,sqrt,1000,5000,dynamic,0,50,1,0.004650,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,50,hogwild,0,10000,guided,1,0,1,0.008735,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,50,sqrt,10,5000,dynamic,1,50,1,0.320930,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,statespace,0,5000,static,0,0,1,0.024709,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,hogwild,0,10000,guided,10,0,1,0.012586,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,sqrt,0,10000,dynamic,10,50,1,0.919546,no,NA,NA,NA,NA,NA,NA,NA,NA
16,100,sqrt,10,10000,guided,1,50,1,2.356103,no,NA,NA,NA,NA,NA,NA,NA,NA
8,100,sqrt,10,5000,guided,10,0,1,0.315926,no,NA,NA,NA,NA,NA,NA,NA,NA
8,50,sqrt,10,10000,dynamic,0,50,1,0.603727,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,sqrt,10,10000,guided,1,0,1,0.439327,no,NA,NA,NA,NA,NA,NA,NA,NA
2,10,statespace,0,5000,dynamic,1,0,1,0.002725,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,10,10000,dynamic,10,0,1,1.243169,no,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,0,5000,guided,0,50,1,4.370971,no,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,0,10000,static,1,50,1,0.415304,no,NA,NA,NA,NA,NA,NA,NA,NA
20,10,sqrt,0,10000,dynamic,0,50,1,0.017370,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,100,hogwild,0,10000,guided,0,0,1,0.018311,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,10,statespace,0,5000,static,1,0,1,0.002008,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,50,sqrt,0,10000,dynamic,1,50,1,0.410903,no,NA,NA,NA,NA,NA,NA,NA,NA
4,10,sqrt,0,5000,dynamic,1,50,1,0.003771,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,statespace,0,5000,static,1,0,1,0.048167,no,NA,NA,NA,NA,NA,NA,NA,NA
8,50,statespace,0,10000,guided,1,50,1,0.384690,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,statespace,0,10000,guided,0,0,1,0.042195,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,50,statespace,0,5000,guided,10,50,1,0.172776,no,NA,NA,NA,NA,NA,NA,NA,NA
16,10,hogwild,0,5000,guided,0,0,1,0.003173,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,10,sqrt,0,10000,dynamic,1,50,1,0.009418,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,0,5000,dynamic,0,0,1,0.122074,no,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,10,10000,static,0,50,1,0.032251,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,dynamic,10,50,1,7.272901,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,statespace,0,5000,dynamic,0,0,1,0.061823,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,hogwild,0,5000,dynamic,1,0,1,0.041456,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,1000,5000,dynamic,10,0,1,0.003097,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,10,statespace,0,5000,static,0,50,1,0.002657,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,10,sqrt,0,5000,static,10,0,1,0.003274,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,10,sqrt,1000,10000,dynamic,0,50,1,0.003188,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,0,5000,static,0,0,1,0.007764,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,0,10000,guided,0,0,1,0.064377,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,hogwild,0,10000,static,10,0,1,0.023690,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,0,10000,dynamic,1,50,1,0.013503,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,50,sqrt,10,10000,guided,1,0,1,0.135388,no,NA,NA,NA,NA,NA,NA,NA,NA
16,10,sqrt,0,5000,guided,0,0,1,0.009397,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,10,5000,guided,1,50,1,0.020177,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,statespace,0,10000,static,0,50,1,0.007644,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,0,10000,guided,0,50,1,0.304624,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,10,5000,guided,0,0,1,0.045475,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,0,5000,static,1,50,1,0.322380,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,10,10000,static,10,50,1,2.408323,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,10,5000,static,10,50,1,1.432767,no,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,0,5000,dynamic,10,0,1,0.009494,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,10,10000,guided,1,50,1,0.556154,no,NA,NA,NA,NA,NA,NA,NA,NA
16,10,sqrt,10,10000,static,0,50,1,0.026269,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,10,sqrt,10,5000,static,0,0,1,0.013950,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,50,statespace,0,10000,guided,1,0,1,0.031565,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,50,statespace,0,5000,static,0,50,1,0.135487,no,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,10,5000,guided,0,0,1,0.067296,no,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,0,5000,guided,1,50,1,0.161762,no,NA,NA,NA,NA,NA,NA,NA,NA
20,10,statespace,0,10000,static,1,0,1,0.004964,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,10,5000,guided,0,50,1,0.018659,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,0,10000,guided,1,50,1,8.694118,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,0,5000,dynamic,0,0,1,0.026277,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,100,hogwild,0,10000,guided,0,0,1,0.022680,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,10,sqrt,10,5000,static,10,50,1,0.013254,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,0,5000,static,10,0,1,0.087430,no,NA,NA,NA,NA,NA,NA,NA,NA
2,10,hogwild,0,10000,static,0,50,1,0.010095,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,10,10000,dynamic,1,50,1,0.547309,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,hogwild,0,10000,dynamic,0,50,1,4.873711,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,10,10000,dynamic,0,0,1,0.239423,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,100,statespace,0,5000,dynamic,1,0,1,0.099250,no,NA,NA,NA,NA,NA,NA,NA,NA
16,10,sqrt,0,10000,guided,1,50,1,0.019627,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,100,sqrt,0,5000,static,0,0,1,0.074792,no,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,0,5000,static,0,0,1,0.107390,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,100,hogwild,0,10000,static,0,50,1,4.929163,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,guided,1,0,1,0.029150,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,statespace,0,5000,dynamic,1,0,1,0.004983,no,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,1000,5000,guided,1,50,1,0.167638,no,NA,NA,NA,NA,NA,NA,NA,NA
8,50,statespace,0,10000,dynamic,10,50,1,0.376484,no,NA,NA,NA,NA,NA,NA,NA,NA
8,10,sqrt,0,5000,static,1,0,1,0.003060,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,0,10000,static,10,0,1,0.348243,no,NA,NA,NA,NA,NA,NA,NA,NA
20,10,sqrt,0,5000,static,10,50,1,0.014813,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,50,hogwild,0,10000,static,1,0,1,0.012456,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,0,10000,guided,0,0,1,0.208071,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,statespace,0,5000,static,0,0,1,0.031807,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,static,0,50,1,0.541916,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,10,10000,dynamic,1,50,1,0.998831,no,NA,NA,NA,NA,NA,NA,NA,NA
40,100,sqrt,0,5000,dynamic,1,50,1,0.585400,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,sqrt,1000,5000,dynamic,0,50,1,0.523287,no,NA,NA,NA,NA,NA,NA,NA,NA
2,100,hogwild,0,5000,dynamic,1,0,1,0.073570,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,10,10000,static,0,50,1,5.938999,no,NA,NA,NA,NA,NA,NA,NA,NA
16,50,sqrt,10,10000,static,1,0,1,0.116911,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,hogwild,0,5000,dynamic,10,50,1,0.004195,yes,NA,NA,NA,NA,NA,NA,NA,NA
16,100,statespace,0,10000,static,1,0,1,0.046619,no,NA,NA,NA,NA,NA,NA,NA,NA
16,10,sqrt,1000,5000,guided,10,50,1,0.002126,yes,NA,NA,NA,NA,NA,NA,NA,NA
20,100,statespace,0,5000,dynamic,0,50,1,0.512399,no,NA,NA,NA,NA,NA,NA,NA,NA
20,100,statespace,0,10000,dynamic,10,50,1,1.024163,no,NA,NA,NA,NA,NA,NA,NA,NA
8,10,sqrt,0,10000,dynamic,0,50,1,0.005838,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,sqrt,10,10000,guided,10,50,1,0.053896,yes,NA,NA,NA,NA,NA,NA,NA,NA
2,100,sqrt,10,5000,guided,10,50,1,8.715885,no,NA,NA,NA,NA,NA,NA,NA,NA
8,100,hogwild,0,5000,dynamic,0,50,1,1.327088,no,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,1000,5000,guided,10,50,1,0.160449,no,NA,NA,NA,NA,NA,NA,NA,NA
16,100,sqrt,0,10000,guided,1,0,1,0.168893,no,NA,NA,NA,NA,NA,NA,NA,NA
8,100,sqrt,10,10000,guided,1,50,1,4.190158,no,NA,NA,NA,NA,NA,NA,NA,NA
2,10,sqrt,10,5000,static,1,50,1,0.006827,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,10,sqrt,10,10000,guided,0,0,1,0.008199,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,10,hogwild,0,10000,guided,10,50,1,0.007572,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,100,hogwild,0,10000,dynamic,1,0,1,0.032810,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,10,hogwild,0,5000,guided,10,0,1,0.002200,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,100,hogwild,0,5000,guided,1,0,1,0.022255,no,NA,NA,NA,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,dynamic,0,50,1,0.527247,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,hogwild,0,10000,dynamic,10,50,1,4.851901,no,NA,NA,NA,NA,NA,NA,NA,NA
4,50,sqrt,10,5000,dynamic,1,0,1,0.042820,yes,NA,NA,NA,NA,NA,NA,NA,NA
4,10,statespace,0,5000,guided,10,0,1,0.002036,yes,NA,NA,NA,NA,NA,NA,NA,NA
40,50,sqrt,1000,10000,static,10,0,1,0.030929,no,NA,NA,NA,NA,NA,NA,NA,NA
4,100,sqrt,10,5000,dynamic,10,0,1,0.292723,no,NA,NA,NA,NA,NA,NA,NA,NA
20,50,sqrt,0,5000,guided,0,50,1,0.175547,no,NA,NA,NA,NA,NA,NA,NA,NA
2,100,hogwild,0,5000,static,0,0,1,0.073068,yes,NA,NA,NA,NA,NA,NA,NA,NA
8,10,statespace,0,10000,dynamic,10,50,1,0.005459,yes,NA,NA,NA,NA,NA,NA,NA,NA
