threads,grid_size,sync_mode,sync_interval,episodes,schedule,chunk,obstacles_pct,block,training_time_s,converged,vtune_elapsed_s,vtune_ipc,vtune_mem_bound_pct,thread_cpu_time_s,thread_wait_time_s,thread_spin_time_s,thread_overhead_time_s,thread_eff_cpu_util_pct
2,100,sqrt,1000,5000,guided,10,0,1,0.097682,no,0.110,1.351,8.7,NA,NA,NA,NA,NA
4,10,sqrt,1000,10000,static,1,0,1,0.003293,yes,0.010,1.394,29.5,NA,NA,NA,NA,NA
16,50,statespace,0,10000,dynamic,0,50,1,0.298089,no,0.329,4.132,2.4,NA,NA,NA,NA,NA
4,100,sqrt,0,10000,dynamic,1,50,1,5.050649,no,5.082,4.448,1.4,NA,NA,NA,NA,NA
16,10,sqrt,0,10000,static,10,50,1,0.024013,yes,0.029,0.463,80.9,NA,NA,NA,NA,NA
2,100,statespace,0,5000,guided,10,50,1,4.352547,no,4.380,4.593,0.7,NA,NA,NA,NA,NA
4,50,sqrt,10,5000,static,1,0,1,0.044650,yes,0.051,1.551,20.9,NA,NA,NA,NA,NA
20,10,statespace,0,5000,guided,10,50,1,0.006640,yes,0.016,0.645,0.0,NA,NA,NA,NA,NA
8,100,sqrt,0,10000,dynamic,1,50,1,2.910315,no,2.935,4.096,3.3,NA,NA,NA,NA,NA
40,50,sqrt,0,10000,guided,10,0,1,0.129285,no,0.142,0.423,31.7,NA,NA,NA,NA,NA
20,100,hogwild,0,5000,static,1,0,1,0.015055,yes,0.034,0.827,68.7,NA,NA,NA,NA,NA
16,10,sqrt,1000,5000,static,10,0,1,0.002918,yes,0.011,0.722,0.0,NA,NA,NA,NA,NA
16,50,hogwild,0,5000,static,1,0,1,0.007834,yes,0.016,0.759,62.4,NA,NA,NA,NA,NA
2,50,hogwild,0,10000,static,0,50,1,1.383804,no,1.396,4.028,3.1,NA,NA,NA,NA,NA
4,10,sqrt,10,5000,dynamic,10,0,1,0.008095,yes,0.014,0.783,38.4,NA,NA,NA,NA,NA
4,10,statespace,0,5000,guided,1,50,1,0.004037,yes,0.013,1.679,33.0,NA,NA,NA,NA,NA
20,100,sqrt,1000,10000,dynamic,0,50,1,1.048852,no,1.073,4.441,1.5,NA,NA,NA,NA,NA
16,100,sqrt,0,10000,static,0,0,1,0.172807,no,0.186,0.940,52.1,NA,NA,NA,NA,NA
20,10,hogwild,0,10000,dynamic,0,50,1,0.009182,yes,0.020,0.395,81.5,NA,NA,NA,NA,NA
4,100,statespace,0,5000,guided,0,0,1,0.062592,no,0.075,1.319,8.1,NA,NA,NA,NA,NA
20,100,sqrt,0,10000,dynamic,0,50,1,2.011891,no,2.054,2.690,13.2,NA,NA,NA,NA,NA
2,50,sqrt,1000,5000,dynamic,1,0,1,0.028908,yes,0.036,1.428,27.2,NA,NA,NA,NA,NA
4,100,sqrt,1000,5000,dynamic,1,0,1,0.063458,no,0.076,1.310,7.6,NA,NA,NA,NA,NA
4,100,sqrt,1000,10000,static,0,0,1,0.108892,no,0.123,1.340,12.1,NA,NA,NA,NA,NA
40,100,hogwild,0,5000,static,0,50,1,0.507367,no,0.539,2.425,2.3,NA,NA,NA,NA,NA
2,50,hogwild,0,5000,static,10,50,1,0.658787,no,0.671,4.213,2.3,NA,NA,NA,NA,NA
16,100,sqrt,10,5000,static,0,0,1,0.182904,no,0.195,0.922,59.0,NA,NA,NA,NA,NA
40,50,sqrt,1000,5000,dynamic,10,0,1,0.022896,no,0.031,0.683,32.8,NA,NA,NA,NA,NA
40,50,statespace,0,10000,guided,0,0,1,0.028146,no,0.039,0.795,45.1,NA,NA,NA,NA,NA
2,100,sqrt,1000,5000,dynamic,1,50,1,4.351964,no,4.385,4.599,0.5,NA,NA,NA,NA,NA
4,100,statespace,0,5000,dynamic,0,50,1,2.424115,no,2.457,4.553,0.8,NA,NA,NA,NA,NA
4,100,sqrt,10,10000,dynamic,1,50,1,5.944772,no,5.970,3.949,3.4,NA,NA,NA,NA,NA
8,10,hogwild,0,10000,guided,10,50,1,0.006324,yes,0.029,1.069,75.2,NA,NA,NA,NA,NA
8,10,sqrt,10,10000,dynamic,0,50,1,0.014636,yes,0.033,0.797,70.7,NA,NA,NA,NA,NA
40,100,statespace,0,10000,guided,0,50,1,0.964782,no,0.989,2.434,2.8,NA,NA,NA,NA,NA
20,50,hogwild,0,10000,static,0,50,1,0.198198,no,0.216,3.199,11.5,NA,NA,NA,NA,NA
16,100,statespace,0,5000,static,10,0,1,0.032619,no,0.046,1.149,36.9,NA,NA,NA,NA,NA
20,10,statespace,0,5000,dynamic,1,0,1,0.004887,no,0.019,0.451,75.1,NA,NA,NA,NA,NA
16,50,statespace,0,10000,static,10,50,1,0.306632,no,0.320,4.175,1.5,NA,NA,NA,NA,NA
40,50,hogwild,0,10000,dynamic,1,0,1,0.010533,yes,0.018,0.449,53.4,NA,NA,NA,NA,NA
2,100,sqrt,0,10000,dynamic,10,50,1,9.952195,no,9.989,4.536,0.8,NA,NA,NA,NA,NA
16,100,statespace,0,10000,guided,1,50,1,1.266840,no,1.296,4.533,1.2,NA,NA,NA,NA,NA
8,50,sqrt,1000,10000,static,0,0,1,0.026078,yes,0.040,1.285,31.3,NA,NA,NA,NA,NA
40,50,sqrt,1000,5000,guided,1,0,1,0.022289,no,0.033,0.714,41.5,NA,NA,NA,NA,NA
2,50,sqrt,0,10000,dynamic,0,50,1,1.274622,no,1.287,4.283,1.4,NA,NA,NA,NA,NA
4,50,hogwild,0,10000,guided,10,0,1,0.022866,yes,0.029,1.270,67.4,NA,NA,NA,NA,NA
8,10,sqrt,0,10000,guided,0,0,1,0.004961,yes,0.013,0.834,56.3,NA,NA,NA,NA,NA
40,10,sqrt,10,10000,dynamic,0,0,1,0.034572,yes,0.041,0.175,100.0,NA,NA,NA,NA,NA
8,50,sqrt,10,5000,dynamic,1,0,1,0.050166,no,0.077,1.192,46.2,NA,NA,NA,NA,NA
